Title,Weight,Rating,Review and Rating,Speed,Warranty,Actual Price,Offer,Final Price After Discount
"Haier 8 kg AI with Inverter Motor, IPuristeam and Refresh Function, Anti Bacterial Technology, Super D...",8 kg,4.3,"1,751 Ratings & 198 Reviews",1200,5,"₹53,500",45% off,"₹28,990"
"Haier 8 kg Powerful Storm Pulsator, Custom Wash Cycles with Quick Wash, Near Zero Pressure Technology,...",8 kg,4.3,"35,898 Ratings & 3,027 Reviews",800,2,"₹35,000",50% off,"₹17,490"
"Voltas Beko 11 kg Fully Automatic Top Load Washing Machine with In-built Heater Black, Grey",11 kg,4.2,"1,122 Ratings & 85 Reviews",700,1,"₹47,990",54% off,"₹21,990"
"Haier 9 kg Oxyi Dry Technology, 1300 RPM, Spray Function, Wash Programs, Magic Filter, Rat Mesh Semi A...",9 kg,4.3,"3,122 Ratings & 181 Reviews",1300,3,"₹19,000",36% off,"₹11,990"
Panasonic 7 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey,7 kg,4.3,"11,858 Ratings & 1,223 Reviews",702,2,"₹22,900",25% off,"₹16,990"
"LG 7 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...",7 kg,4.4,"73,312 Ratings & 5,366 Reviews",700,2,"₹20,990",16% off,"₹17,490"
"LG Electronics 10.5 kg Semi Automatic Top Load Washing Machine Maroon, White",10.5 kg,4.6,96 Ratings & 6 Reviews,1350,2,"₹24,490",29% off,"₹17,300"
"Haier 8 kg Balance Clean Pulsator, Custom Wash Cycles with 15 Mins Quick Wash, Magic Filter Fully Auto...",8 kg,4.3,"35,898 Ratings & 3,027 Reviews",800,2,"₹30,000",43% off,"₹16,990"
"Godrej 7 kg 5 Star, Zero Pressure Technology Fills Tub 60% Faster, Stainless Steel Gravity Drum Fully ...",7 kg,4.2,"7,087 Ratings & 522 Reviews",720,2,"₹27,000",47% off,"₹14,100"
"Whirlpool 9 kg Ozone Technology 5 Star Inverter 100+ Tough Stains, 1400 RPM Fully Automatic Front Load...",9 kg,4,86 Ratings & 6 Reviews,1400,2,"₹54,300",35% off,"₹34,900"
LG 7.5 kg Fully Automatic Top Load Washing Machine Grey,7.5 kg,4.4,"73,312 Ratings & 5,366 Reviews",740,2,"₹27,990",32% off,"₹18,990"
"Haier 7 kg Balance Clean Pulsator, Custom Wash Cycles with 15 Mins Quick Wash, Magic Filter Fully Auto...",7 kg,4.3,"35,898 Ratings & 3,027 Reviews",800,2,"₹26,000",47% off,"₹13,690"
"LG 7 kg 5 Star, Inverter Direct Drive Technology, 6 Motion DD, Steam, Fully Automatic Front Load Washi...",7 kg,4.4,"6,421 Ratings & 477 Reviews",1200,2,"₹44,490",32% off,"₹29,990"
"Godrej 8 kg 5 Star, With Soft Shut Wash Lid, Tri Roto Scrub Pulsator With Stainless Steel Wash and Spi...",8 kg,4.2,516 Ratings & 49 Reviews,1400,2,"₹20,050",,"₹20,000"
Whirlpool 7 kg with Hard Water Wash Fully Automatic Top Load Washing Machine Grey,7 kg,4.2,"23,096 Ratings & 1,594 Reviews",740,2,"₹18,950",19% off,"₹15,290"
Whirlpool 7 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey,7 kg,3.3,13 Ratings & 0 Reviews,740,2,,,
Thomson 10 kg 5 Star Aqua Magic Double Waterfall Semi Automatic Top Load Washing Machine Black,10 kg,4.1,"22,527 Ratings & 1,994 Reviews",1400,2,"₹14,999",33% off,"₹9,999"
"LG 7 kg 5 Star, Smart Inverter Technology, TurboDrum, Smart Diagnosis with Soft Closing Door Fully Aut...",7 kg,4.4,"73,312 Ratings & 5,366 Reviews",740,2,"₹27,490",36% off,"₹17,490"
